CampaignID,Product,SpendUSD,Impressions,Clicks,CTR,BounceRate,ConversionRate,SentimentText
C0001,Camera Accessories,1926,36556,717,0.0196,0.41,0.11,Great campaign performance and strong user engagement
C0002,Gaming Accessories,2259,41309,414,0.01,0.37,0.19,Great campaign performance and strong user engagement
C0003,Gaming Accessories,1660,36919,916,0.0248,0.38,0.1,High click-through but low conversions
C0004,Camera Accessories,2094,19931,1125,0.0564,0.38,0.14,Great campaign performance and strong user engagement
C0005,Home Audio,1930,47970,1398,0.0291,0.39,0.14,"Low engagement, unclear messaging"
C0006,Gaming Accessories,1895,27688,712,0.0257,0.38,0.05,"Mixed feedback, moderate performance"
C0007,Gaming Accessories,1844,40342,1028,0.0255,0.51,0.15,High click-through but low conversions
C0008,Gaming Accessories,2438,17327,1320,0.0762,0.4,0.08,Strong sentiment and excellent brand recall
C0009,Camera Accessories,921,15197,1060,0.0698,0.44,0.19,"Mixed feedback, moderate performance"
C0010,Gaming Accessories,1266,38509,975,0.0253,0.57,0.07,"Low engagement, unclear messaging"
C0011,Camera Accessories,2038,49698,756,0.0152,0.47,0.11,"Mixed feedback, moderate performance"
C0012,Camera Accessories,1130,30087,1219,0.0405,0.52,0.06,"Low engagement, unclear messaging"
C0013,Camera Accessories,2282,37671,491,0.013,0.39,0.2,"Low engagement, unclear messaging"
C0014,Gaming Accessories,887,40184,1038,0.0258,0.4,0.13,Strong sentiment and excellent brand recall
C0015,Camera Accessories,2196,42848,1422,0.0332,0.36,0.14,"Mixed feedback, moderate performance"
C0016,Home Audio,1923,35666,1277,0.0358,0.39,0.06,Strong sentiment and excellent brand recall
C0017,Gaming Accessories,1671,30708,1308,0.0426,0.42,0.16,Strong sentiment and excellent brand recall
C0018,Gaming Accessories,2487,41370,395,0.0095,0.39,0.08,"Mixed feedback, moderate performance"
C0019,Gaming Accessories,930,17811,962,0.054,0.37,0.18,Great campaign performance and strong user engagement
C0020,Gaming Accessories,2485,21546,336,0.0156,0.38,0.08,Great campaign performance and strong user engagement
C0021,Gaming Accessories,2132,49754,578,0.0116,0.47,0.08,Strong sentiment and excellent brand recall
C0022,Camera Accessories,1569,45206,516,0.0114,0.4,0.06,High click-through but low conversions
C0023,Camera Accessories,1143,26411,1166,0.0441,0.44,0.12,Strong sentiment and excellent brand recall
C0024,Gaming Accessories,2315,17911,1172,0.0654,0.48,0.13,Strong sentiment and excellent brand recall
C0025,Camera Accessories,2237,16734,361,0.0216,0.52,0.06,Strong sentiment and excellent brand recall
C0026,Gaming Accessories,1605,33227,895,0.0269,0.36,0.17,Great campaign performance and strong user engagement
C0027,Camera Accessories,1185,23680,1028,0.0434,0.55,0.12,Great campaign performance and strong user engagement
C0028,Camera Accessories,2015,34360,696,0.0203,0.51,0.13,Great campaign performance and strong user engagement
C0029,Camera Accessories,1755,33343,998,0.0299,0.37,0.12,Strong sentiment and excellent brand recall
C0030,Camera Accessories,1076,20759,1342,0.0646,0.57,0.11,High click-through but low conversions
C0031,Home Audio,1984,38078,476,0.0125,0.58,0.13,Great campaign performance and strong user engagement
C0032,Gaming Accessories,1259,26111,695,0.0266,0.37,0.07,"Mixed feedback, moderate performance"
C0033,Home Audio,2137,16802,744,0.0443,0.42,0.08,"Mixed feedback, moderate performance"
C0034,Camera Accessories,821,23155,375,0.0162,0.55,0.18,"Mixed feedback, moderate performance"
C0035,Home Audio,1052,23120,564,0.0244,0.54,0.19,"Low engagement, unclear messaging"
C0036,Gaming Accessories,1547,36918,754,0.0204,0.4,0.11,Strong sentiment and excellent brand recall
C0037,Gaming Accessories,1656,35445,1017,0.0287,0.4,0.09,"Mixed feedback, moderate performance"
C0038,Camera Accessories,2384,45306,1034,0.0228,0.44,0.15,Strong sentiment and excellent brand recall
C0039,Home Audio,1274,31646,1150,0.0363,0.47,0.11,"Mixed feedback, moderate performance"
C0040,Home Audio,1882,46065,443,0.0096,0.5,0.05,High click-through but low conversions
C0041,Home Audio,1310,40199,1184,0.0295,0.44,0.07,Strong sentiment and excellent brand recall
C0042,Gaming Accessories,2299,31371,1392,0.0444,0.47,0.16,"Mixed feedback, moderate performance"
C0043,Gaming Accessories,1499,26835,1422,0.053,0.54,0.15,Great campaign performance and strong user engagement
C0044,Home Audio,1775,17049,695,0.0408,0.36,0.05,Strong sentiment and excellent brand recall
C0045,Gaming Accessories,989,46616,1348,0.0289,0.41,0.08,"Low engagement, unclear messaging"
C0046,Gaming Accessories,1757,35932,1247,0.0347,0.53,0.08,Great campaign performance and strong user engagement
C0047,Home Audio,1486,44855,1190,0.0265,0.57,0.15,Great campaign performance and strong user engagement
C0048,Gaming Accessories,1757,22158,1474,0.0665,0.48,0.05,"Low engagement, unclear messaging"
C0049,Home Audio,1362,22400,1467,0.0655,0.48,0.07,Great campaign performance and strong user engagement
C0050,Home Audio,2390,30151,868,0.0288,0.38,0.17,Great campaign performance and strong user engagement
C0051,Camera Accessories,2067,16154,1362,0.0843,0.46,0.08,"Mixed feedback, moderate performance"
C0052,Home Audio,1631,19499,408,0.0209,0.48,0.15,"Mixed feedback, moderate performance"
C0053,Gaming Accessories,2328,21295,1365,0.0641,0.41,0.09,Strong sentiment and excellent brand recall
C0054,Camera Accessories,1954,27183,1234,0.0454,0.42,0.06,Strong sentiment and excellent brand recall
C0055,Home Audio,2308,44299,697,0.0157,0.44,0.09,Strong sentiment and excellent brand recall
C0056,Camera Accessories,1446,27874,933,0.0335,0.36,0.16,"Mixed feedback, moderate performance"
C0057,Gaming Accessories,820,47711,1456,0.0305,0.43,0.18,Strong sentiment and excellent brand recall
C0058,Home Audio,1640,20539,1486,0.0724,0.4,0.17,Great campaign performance and strong user engagement
